"","x"
"A1C",0.0078219096013294
"AG",0.0213833506069734
"ALB",0.0224955253772521
"ALKP",0.000481280639947517
"ALT",0.00087293053849952
"AST",0.00148411585098822
"BASO",0.0026490246437916
"BASOAB",1.01639650655036e-05
"BUN",0.00521169004854343
"CA",0.000874659776112667
"CHOL",0.000222683042758116
"CHOLHDL",0.0048749710468348
"CL",0.0164541472110319
"CO2",0.00802532363393421
"CR",0.0310826388966629
"EOS",0.00727722359661435
"EOSAB",7.14382998062244e-05
"GLOB",0.0115256882667141
"GLU_byMeter",0.00395531834200264
"GLU_fasting",0.0160058398650274
"GLU_nonFasting",0.0678725097345691
"GLU_SerPlas",0.0107519783435544
"GLU_wholeBld",0.0056052085371458
"HCT",0.0146125554889786
"HDL",0.00320469433458618
"HGB",0.0164145433593605
"HSCRP",0.0290722693529145
"K",0.00547504322255363
"LDL_Calc",0.000461938390444009
"LDL_Direct",0.00192290208588386
"LDLHDL",0.00204560874210351
"LYM",0.0263100938319644
"LYMAB",0.0038007795874051
"MCH",0.0052594974753516
"MCHC",0.00326038404898547
"MCV",0.00416500291932704
"MONO",0.00110997250130765
"MONOAB",0.0071810222054852
"NA.",0.0139092687176247
"NEUT",0.0267412580379494
"NEUTAB",0.0273929903441285
"NHDL",0.000256622633385589
"PLT",0.0199406439876092
"RBC",0.00700155121219676
"RDW",0.0241630788190353
"TBIL",0.00063982138917513
"TGL",0.0172785135535205
"TP",0.000571366403680761
